번호,챕터,문제,정답,해설,출처
1,"계약의 성립(청약, 승낙)",계약 성립을 위해서는 본질적 사항이나 중요 사항에 대한 합의가 있어야 한다.,O,,강의자료 판례
2,"계약의 성립(청약, 승낙)",당사자가 특정 사항에 중대한 의의를 두고 성립요건으로 삼았다면 그에 대한 합의가 있어야 계약의 내용에 포함된다.,O,,강의자료 판례
3,"계약의 성립(청약, 승낙)",당사자가 중대한 의의를 둔 사항이라도 객관적 부수 사항이면 합의 없이 계약이 성립한다.,X,당사자가 성립요건으로 삼았다면 합의가 필수적임.,강의자료 판례
4,"계약의 성립(청약, 승낙)",선시공 후분양의 경우 완공 상태를 볼 수 있으므로 광고는 분양계약 내용이 아니다.,O,,강의자료 판례
5,"계약의 성립(청약, 승낙)",청약 도달 이후라도 합의 성립 전이고 사측에 불측의 손해를 입히지 않는다면 철회가 가능하다.,O,,강의자료 판례
6,"계약의 성립(청약, 승낙)",청약은 상대방에게 도달한 이후에는 어떠한 예외 없이 절대 철회할 수 없다.,X,"합의 성립 전, 불측의 손해 등 특별한 사정이 없으면 철회 가능함.",강의자료 판례
7,계약의 해제·해지,"채무불이행을 이유로 계약을 해제하는 경우, 특별한 사정이 없는 한 해제된 계약 내에 포함된 손해배상액의 예정(위약금)은 소급적으로 소멸한다.",X,채권자가 채무불이행을 이유로 계약을 해제하더라도 원칙적으로 손해배상액의 예정은 실효되지 않습니다.,대법원 2022.4.14. 2019다292736·292743 
8,계약의 해제·해지,"계약이 합의해제된 경우, 원래의 계약에 있는 위약금 약정은 특별한 사정이 없는 한 합의해제의 경우에도 적용된다.",X,원래의 계약에 있는 위약금이나 손해배상에 관한 약정은 합의해제에도 적용된다고 볼 만한 특별한 사정이 없는 한 합의해제의 경우에까지 적용되지 않습니다.,대법원 2021.5.7. 2017다220416 
9,계약의 해제·해지,"채무불이행을 이유로 한 해제의 의사표시 당시 이미 본래 채권의 소멸시효가 완성되었다면, 채무불이행 시점이 시효완성 전이었더라도 채권자는 해제권 및 원상회복청구권을 행사할 수 없다.",O,"해제 의사표시 당시 이미 본래 채권이 시효로 소멸하였다면, 채무불이행 시점이 시효완성 전인지 후인지를 불문하고 해제권 및 원상회복청구권을 행사할 수 없습니다.",대법원 2022.9.29. 2019다204593 
10,계약의 해제·해지,"매수인이 잔대금 지급기일까지 잔금을 지급하지 못하면 계약이 자동으로 해제된다는 약정이 있더라도, 잔대금 지급의무와 소유권이전등기의무가 동시이행관계에 있는 경우에는 매도인이 이행의 제공을 하여 매수인을 이행지체에 빠뜨려야만 계약이 자동해제된다.",O,"잔대금 지급의무와 소유권이전등기의무는 동시이행관계에 있으므로, 매도인이 이행의 제공을 하여 매수인을 이행지체에 빠지게 하였을 때에 비로소 자동해제됩니다.",대법원 1998.6.12. 98다505 
